sentiment,text,label
positive,Smart phone is very good but camera not satisfied,2
positive,Good discount 👍,2
positive, Yes sir...I just acquired a Master of Arts in Christian Ministry-a loooooong journey completed today...so thankful!,2
positive,Battery life is amazing...there is a more advanced features...camera quality is so good than any other phone of MI...video quality in youtube is 1080p supported which is excellent....but drawback is no flash notification light on screen...and there is no data speed and daily data usage shown on status bar...,2
negative,"RT @stephenstephan: Paul, collect more records from terrorists but less from Americans. 4th amendments.  Warrants mean something. #BigHugs …",0
neutral,While using apps it's showing force stop pop up. Battery life avg.,1
positive,Better than other choices in the market.,2
neutral,"Battery back up very low,Screen is already scratched Play stores not showing ,",1
neutral,Ready to go home  2 more hrs of wrk,1
neutral,Up at 6am on Sunday... Going to meet my mom for breakfast at the beach!,1
negative," DAMMIT. I guess my baby daddy is some impostor then...i kid, i kid",0
positive,Good,2
positive,Superb,2
positive,"When cowboys ride off into the sunset, they probably stop at Greasewood Flat for a burger and beer. This rustic little bar is located a bit outside the city right near Pinnacle Peak and is definitely worth the drive! You'll know you are in the right spot when you see the antique farm equipment and suddenly feel like you are walking up to an Old West saloon. Say hello to the mule on your way in. Outside they have picnic tables, horseshoes, and fire pits (gets chilly out there in the desert!), and on the weekends they have live music and dancing. 

Inside, the bar is pretty small, and the place is covered in dollar bills and business cards left by satisfied cowboys and cowgals. For the nights without live music, don't you fret, they have a jukebox with tons of country hits. The night we went it was the bartender's birthday, and the regulars were definitely having a good time.  

Both a historic landmark (120+-year old original stagecoach stop) and a dive bar, Greasewood Flat is clearly special to Arizona, and is a definite must see. I'll be going back on a weekend to get the true Greasewood Flat experience and hopefully see a cute cowboy or two..",2
positive,GOODNIGHT MAGIC AND PRETTY WORLD,2
positive," nm. dang, you on NOW but i gotta bounce in like 4 minutes  i`m just chilling. the usual.",2
positive,Battery life is disappointing. Otherwise everything is good.,2
negative, Nofair! My BK only had Uhura and Nero left.,0
negative,Mobile don't work first open time very disappointed,0
positive,Very good camera,2
positive,Jabarjas phone i like it,2
neutral,Nice Phone,1
negative,Battery drain fast,0
positive,Best phone,2
positive,front camera need more clarity..like back camera.. over all good mobile,2
positive,"It's amazing product.

Forget the iPhone 😂 mobiles, start using OnePlus 7T, then u will never use iPhone again",2
positive,The phone is better as compared to price. Camera clarity is good finger print is slow battary is good but the phone back is very bad plasic  quality . One of the disadvantage is no ear phone is give by samsung,2
positive,Great deal 👍,2
positive,"Mobile is very nice
Cam quality is fine
processer nice performance
All over good mobile
I like it, happy with mobile",2
negative,"At first I was happy to find a dry cleaning shop that was on my route to/from work and had good prices.  The whole pay in advance thing and only accepting cash or debit card (with a 50 cent charge for debit) was a litte inconvenient, but that was OK.  The first few batches of items I brought in came out great, but then the quality started to go downhill.  I finally gave up on this place when 3 separate batches of items I brought in came back wrinkled, like they were not pressed completely.  Even the simple items like pencil skirts looked like they hadn't been touched at all.  Huh?  A low price is not really a bargain if I have to iron everything again myself once I get home.  Thanks but no thanks!",0
neutral,"Aww, no one`s on MSN",1
positive,"Delivery was good.
Mobile is ok at this price range.",2
positive,value for money,2
positive,Great performer good looks good value for  money but there should be frosted silver colour in 256gb varient.,2
negative,"One of the worst product by Xiaomi.
One of the poor displays I’ve seen.
Very slow Finger print sensor it took very long time to detect finger print.
Slow Response on touch screen (higher latency).
Brightness is not optimized as miui. Very poor brightness.

Only look is OK.",0
positive, thats real geek talk! haha...I feel you!,2
negative,"Marco Rubio's ""blessed"" count: 87. #GOPDebates",0
positive,Ruukki forecast a 15-20 % annual sales growth and a positive pretax result for 2010 .,2
neutral,The battery life is too worst if you are a heavy user due to the 90hz display and 3800mah only and if you want to get more battery life satisfy the 90hz display and shift to 60hz display  in settings and the front camera also too worst and the back camera is blur in normal mode at some areas near to the edges remaining all good of my 10 days usage.,1
negative,Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ,0
positive,Nice product but not receive discount,2
neutral,I don't receive headphones with box,1
negative,Scott Walker &amp; Droopy Dog... definitely related. #GOPDebate http://t.co/HccDkmV1WG,0
positive,Good my expectations reached,2
neutral,Worst phone blutooth can't connect and sound became loud aand sometimes low wtf and many problems,1
negative,Ghost touch problem samsung service center gys not responding properly. Finally am fully disApointed,0
negative,Not gud,0
negative,Bakwas phone bad quality,0
negative,I brought for my uncle according to him fine.,0
positive,"Design is great, camera is superb along with satisfactory snapdragon 665 and android one i think its overall great package at this price point.",2
positive,"Samsung is trying to push its boundaries with the whole new M series and A series phones .

Its been a month now since i purchased it , i must say the battery performance is on PAR .
The camera quality is average  and the speakers are a bit teeny as well .
The display is the best hardware in the m20 ( not an led but the colors are vibrant ).

With the variant of 3 or 4 go ram you should be fine with day to day tasks but not heavy graphic usage .",2
positive,"Redmi note 8  osm  for price range
Camera is good
Battery is good
Mobile build quality is good
Overall redmi 8 good",2
neutral,"Came here the other night in a party of 17.  Overall the experience was satisfying.  The waitresses were nice (yes, some had serious cleavage) and they were mostly on top of things - ordering the kids plates first, getting drinks/orders put in.

The drinks were huge - I had a margarita which was served in a wine carafe.  Unfortunately there was hardly any alcohol in it so I supplemented with a shot of silver tequila.  Probably could have used a couple more shots!

I had the baby back ribs.  The order was huge and I did my best.  The meat was tender and the sauce spicy.  Overall it exceeded my expectations (which weren't too high given what I've read here).  The plus was the entertainment value with people trying to ride the mechanical bull.  Only one person from our group did it - after 4 shots of Jack Daniels!

Overall a great place to go to if you're looking for a casual place with some eye candy, decent food, and side entertainment.",1
negative,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…",0
negative,"RT @BettyFckinWhite: -Can you answer this very direct question?
-I should be president. 
-So, no?
#GOPDebates",0
neutral,": You must rest, don`t work hard  How abt Cr-chan ?",1
positive,Great battery life on this phone even on heavy usage and gaming.The camera quality is fine and has a wide angle lens the Samoled screen is a wisdom to the eyes and looks stunning while viewing movies,2
negative,"RT @PennBat: ""We fought the teachers union""--.@ChrisChristie ...and how did that improve New Jersey schools? #BATsAsk #GOPDebate .@NJBatsa",0
negative,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…,0
negative,RT @americnhumanist: Lot of anger in this debate. Where's the compassion? Where's the empathy? #humanism #GOPDebate,0
positive,Good,2
positive, You may be PC but I love you anyway!!!  Maybe someday you too will become Mac!,2
neutral,dinner was yummy and all... but i`m still super tired after all the things we went through to enroll for college.,1
positive,"RT @Torchie123: This guy got the real shaft in the #GopDebate tonight.
WHY IS THAT? 
# http://t.co/zw8jUPqP11",2
positive,Simply best phone in this range,2
positive,"If your budget is 10000 without any second thought go for this phone. It is far better than redmi note 8 or realme 5s in terms of screen size, screen quality, battery life, processor. Can compete with camera quality. Being Sony sensor it can match with Samsung 48mp sensor.",2
positive,It's a good product like it,2
neutral, Lol...I am greedy. I`m craving Coldstone again.,1
neutral, It was on my CNN subscription on Google Reader. I couldn`t help but repost it,1
neutral,Battery is bad,1
positive,"Nice mobile....fingerprint is good but not best....
Camera is also nice....but flask light is some yellowish.....and battery charging and backup is good",2
positive,"Phone is very fast n smart, provide me bill please",2
positive,"My advice is go for M20, it's allrounder. I used M20 for 4Months before but now I use A30. Now I feel M20 is much better than A30, bcz M20 battery, 4G cellular signal strength, sound for incoming and outgoing calls, wide angle camera shots, video and audio quality for film watching, easy for Android Oreo with samsung experience 9.5 , and fast battery charging.
better to buy M20 Samsung 64GB model (black Color).",2
positive, great pics! You should try to start selling your race photos to runners,2
positive,Nice....,2
negative," I was very happy with this phone but after 4 months of use, the display problem started appearing in this phone.",0
negative,Waste,0
positive,"Mobile is good, Battery Drains Sometime, it should be resolved soon.",2
neutral,As good as it gets for Chinese food in Surprise right now.,1
neutral,Since I changed over to this phone I  notice the internet is a bit slower compared to my old Micromax ( lower version) for the same SIM and same network operator.  I feel this is because of not very good data receivers provided in M-20 as compared to other lower models.,1
positive,"One of my most favorite coffee shops! Location for sure. Soooo cute here. Inside and out. The patio is beautiful and you feel like you're in a diff city for a moment. Coffee is pretty darn good. Not the best, but good. And the menu is great. I am a vegetarian and they have many options for us. The treats are amazing. The staff is amazing. And they always seem to play great music too. Love this place. Wish it were not so far away in Mesa...",2
positive,Like it,2
neutral,Nice mobiles,1
negative,Anger Bear stayed up too late and was throwing things around in his bedroom. No video games for him today. #GOPdebate http://t.co/qRAZyJWzEZ,0
neutral,Dislike the low sound quality. Can the speakers' sound be increased. In full volume also the sound is low.,1
negative,"Long Battery life, Fingerprint lock little bit hard, Face detection center not working properly,  speed good, image quality of front camera is quite good from rare camera. Memory card slot problem and also not received cashback and amazon customer care service also not good in past experience.",0
positive,"I live this product..
I can't find anything detect And any other issues in this product.
I love  this mobile phone",2
positive,"Performance wise awesome
Looks perfect
Camera quality is good
Worth buying",2
positive,Excellent..,2
positive,"*Camera quality is superb.
*Front and back both camera are very good.
*Back look of this phone is awesome.

* Sound volume could be better.
I got this phone at 14000/- in diwali sale.
 This phone is much better than realme XT",2
neutral,ahaha im here carlos;;  Wasssup?!,1
neutral,RT @TartanTony71: Did this one pop into anyone else's head last night? #GOPDebate http://t.co/r2LWTiemzM,1
neutral,"Phone is just ok, MI phones are better in this price range",1
positive,"Good look , great comfort in hand , no issue in performance csd665 works perfect , all fine with camera , overallllll great product @ budget price",2
neutral,"The camera quality is very bad. Inspite of good resolution, the pictures that come out are really bad.",1
positive,"Slim,slick and attractive look. Amazing battery life. Super camera quality. Picture and video quality is also better in the segment. Touch screen is really sensitive.",2
positive,"Product is super
Touch is super sensitive
Working so fast",2
positive,Awesome mobile loved it,2
positive,Thank you one plus team for one plus T. camera quality is really good and sound quality also good.if u are playing real HD videos you can find the real screen quality.,2
positive,This 90hz screen gives too good experience. Battery capacity could be little more. I love ot,2
positive,A true flagship phone... Love it... Ummah,2
positive,"It's a very good mobile under this range.
6 gb ram is awesome. & if its internal memory will 128 gb then it will be completely khatarnakk !!
But ..its not !!",2
negative,Going to fold laundry and then hit the sack. I have boring saturday evenings,0
positive,The samsung has improved the processor. I was used the samsung galaxy grand quattro and prime but after few months the phone has lag and very slow but this is the best phone to buy. If you are watching the best memory phone in 20k you will go with this phone.,2
neutral,Just ok. Camera is very bad.,1
positive,For normal use its a good mobile with good battery life but the anomaly in this mobile is that we cant take pictures with the help of finger print reader which is a big disadvantage of this mobile and even earphones are not provided with the set,2
neutral,Good phone. Sluggish when you want to do processor intensive tasks. Good enough for day to day use.,1
positive,Best phone used till date,2
positive,Fingerprint reader is quite  slow ....,2
positive,Very good battery life and selfie camera good,2
negative,Bettery backup not good and seller not provide ear phone in the mobile box,0
positive,"Awesome phone
Long life battery
Full hd display
Camera quality also great.",2
neutral,Phone is nice and big battery is good charging is very fast memory is nice camera quality is ok doesn't feel like 48M camera sometimes phone gets hangs I guess RAM is not sufficient also their processor could more powerful overall ok phone but better options than this redmi 7 pro in same category,1
positive,Good one,2
positive,"Lovely phone nice camera,nice battery back up camera quality awesome go for it",2
negative,#GOPDebate RT @OutnumberedFNC Next more on the earlier debate and @CarlyFiorina's stand out performance #outnumbered http://t.co/gpHmzSOrv2,0
positive,"Over all very good phone in this range from MI.
I am using MI phones since 2014.",2
negative,After the pie update on Mi A2 phone the various problems and bungs .and the quality of camera is worst.,0
negative, and now I have to shut computer down and get ready to go home from work....what a bummer.,0
positive,"Initially, when I purchased it I was somewhat upset because of heating issues but after new update everything is cool and I will recommend you to buy this.",2
positive,"My sister in law and her fiance took us to Jimmy Johns after discovering it. The location is really convenient to us, which is great.

I enjoyed my sandwich. The branding is a little intense. EVERYTHING, right down to the chips, is branded with the Jimmy John's logo. It's all good but it's a little crazy.

The sandwiches are big and the cookies they sell by the register are huge! Prices don't seem too bad either. A nice sandwich stop.",2
positive,Value for money very good mobile battery life is very good .camera quality medium hai.aur fingerprint bhi accha hai overall kafi aacha device hai app le sakte hai,2
positive,Good,2
positive,Nice budget mobile,2
negative,"Attention Please! This phone was purchased by me on 12th feb. and was supposed to be my Fathers birthday gift. the phone was defective and amazon COULD'NT provide solution for this issue. And what i dont understand is what if the product shows defect after 10th day???? Is amazon still not responsible?? i am a regular visitor of Amazon and i didnt expected this from Amazon. Because of all this even after my dad's birthday he is using his same old phone.

the phone starts lagging again and again. touch screen not working properly. Lags almost twice or thrice in a couple of hours. same problem even in safe mode. Samsung not taking responsibility because it was purchased from here. not ready to provide written mail on that too. Visiting service center doesn't guarantee any data loss. Backed up on SD card but demanding phone to be kept for indefinite period to diagnose (At the expense of his office hours). what should be done???? If anyone has amazon complaint portal or email ID pls share with me.

Thank you.",0
positive,Am in love with 1+ 7T,2
negative,"Think before you buy

Not 4G compitable guys
I did not notice that
And on & off button takes too long to work sometime it just don't switch on

I am changing my star  M30 Star rating from 4 to 2 now
Its a King phone just for the battery backup  Super Super value for money but without 4G it sucks
 I want to have 3 more features in this phone
1. Gorilla Glass
2. Wireless charging
3. Water resistant

I don't mind paying 5000 extra

Samsung Upgrade it to 4G as I missed my return date , if have noticed before ,I would have returned it

Harinder S Sachdeva",0
positive,"Nothing to be said bad, everything is best. Recvd phone within a day of booking from Amazon.Thanks.
Recvd phone on 24august. Saturday. The phone was not needed to be charged till Monday morning 10.30 am.
Battery life excellent. Display superb even it was Hd+, no matter.
Superb quality of camera and phone.
Overall superb android phone from My favourite Xiaomi... MI",2
positive,"I have been an Samsung S7 edge user before this and bought Redmi note 8 pro and Mi A3 for my wife and Mom, and used those extensively and this review is based on a comparison of all these phones.
Pros:
Firstly M31 is at its price point of 16k for the 128GB model is amazing with its overall camera performance and Battery life. The camera is definitely better than the note 8 pro. The 32MP selfie camera has the right colors output for Indian faces.
My S7 edge's amoled screen was incomparably with the budget phones till now, but the amoled screen in the M31 didn't disappoint me at all. The 5MP macro lens now makes more sense than the 2MP macro lens of Note 8 pro which I believe is useless. The M31 macro lens gave some really good shots.
Android 10 out of the box and Samsung's UI is definitely much better than Redmi or Stock android of Mi A3. For multimedia, this phone is really good with its screen quality and sound quality with Dolby atmos support.

Cons: Although people say you do not feel that the phone has a 6000 mah battery as it doesn't feel heavy but actually if you use the phone a lot and for longer durations, you will surely feel the weight. Now that is also because I use a back cover with the phone but again practically majority of us will use a back cover.
Secondly the phone is not powerful enough to play games for durations. After playing COD for 1 hour, the phones becomes a little hot and game play shows some lags. So definately not for gamers. The Note 8 pro is the best phone for gamers at a much lesser price.
Fingerprint sensor is fast enough, not the fastest though. The only thing is they should have given in-display sensor on the front as if the phone is on the table I have to pick it up everytime to unlock.

Overall for people like me who like a good lasting battery, a good screen and a good camera, this phone is perfect at this price point. Plus Samsung service which I have used a lot with older phones gives the edge to choose Samsung over others.",2
positive,Great phone for affordable price,2
positive,overall performance is good.,2
positive,Good Samsung phone m10s best,2
positive,Very nice phone,2
positive,The battery life is very good. Descent display.,2
negative,"In this segment many good quality mobiles are available, its not so good.",0
positive,"Galaxy M20 is a good choice, it is durable and gives a nice experience. But camera is so good and the charging is not 3X. It is 2X than normal charging. Otherwise it is a nice piece for the new generation. If the Camera quality is increased it can become one of the best at this price and thanks to SAMSUNG for it.",2
neutral,Nice,1
positive,: i really adore your K-POPPED site ! http://k-popped.com/ haha,2
positive,"Battery performance: 5/5
Sound:5/5
Picture:4/5 (if you compare with super AMOLED)
Heating issue: No heating issue
Charging: 40min
Wifi streaming: Supports Miracast. Smooth streaming experience. Battery holds good when using screen mirroring.
Network: 4G VoLTE2

Recommend for purchase.",2
neutral,@rhondalevaldo How is @UNITY_JFD working on poverty issues? #TalkPoverty #GOPDebate,1
negative,RT @JimKilbane: #unions #teamsters #Walker16 #GOPDebate Facts are facts people. http://t.co/IEYSqoZDwD,0
negative,"This product is problemetic its heating when talking more then 10 min on call, its a defective product so pls 🙏 tell me what i do for return policy",0
negative,"Nice and timely delivery by Amazon.

Have been using this product for 4 months.... Poor quality product from MI.",0
positive,RT @DonnieWahlberg: Enjoyed the #GOPDebates and am looking forward to the #DemocraticDebates next.,2
positive,Like: Fast Charging and Battery Backup & other features. And Dislike: Hands free or head phone was not given by Samsung. This is my 5th Samsung Mobile which I have received without the head phone .,2
neutral,Good phone at this price,1
neutral,"Phone is decent but not enough these camera is ok .
Battery sucks and short cable of charge sucks more then that fingerprint indisplay is really bad almost every case it didn't recognize you .
Front camera is too bad lots of grains you have in image .
Honestly speaking go for higher version of Samsung or one plus.
I am disappointed with these although display is great",1
positive,"nice mobile i think that you will bought this phone for both office use and pubg game.
in this mobile pubg runs very smoothly. you can continue play  8-9  pubg game and your battery remain 30%  after playing 8-9 pubg game",2
positive,Nice product,2
positive,"Best in class with top camera, dual speakers, Amoled 90 hz screen",2
positive,Nice phone,2
negative," Phone is malfunctioning and defective. Goes for restart infinitely and takes more than 2 hours. Experienced it 4 times in one day. Disappointed with the product. Either replace or refund !!

Just spoke with an executive (I was called back from support team) and she wasn’t of much help .. issue critical and I am told technician would only visit on Friday (after 2 days of reporting the issue) to troubleshoot the problem, post which they will raise report and decide on the phone replacement !

Very disappointed and didn’t expect this kind of service from Amazon !!",0
positive,"Everything is good with this phone, UI is smooth I never faced any in day to day tasks, I wish we get One UI in the Update. Battery life is good but not as I expected to, its giving an average of 9-10 hrs of screen on time.
only disadvantage I can say is it takes almost 2hrs to completely charge the phone, its a very long time. charging cable length is too small, It can't even reach my table.",2
positive,Value for Money,2
positive,Excellent Flagship Phone. Worth for Money. Excellent battery life and Fast Charging support. Awesome display with 90Hz refresh rate. Camera clearity is too good. Dolby atoms gives you Theatre like feel. Go for it.....,2
positive, very cute kitty,2
negative,good camera but sometimes get lagging battery is very poor,0
positive,"After using the phone for few months now, I will give it 3.5 stars.

Pro:
Good battery life for normal user.
Okay-ish charging speed.
Great looks.
UI looks cool too.
Wide angle camera photos are awesome. Even selfies and normal photos are good. Low light photography suffers a bit.
Face unlock feature is very fast and accurate too.

Cons
Fingerprint sensor is too slow.
Samsung's OS features like searching lags a bit.
Flash light is not so powerful and hence low light photographs are not good.

All and all good stylish phone. MI phones might be better than it in this range but for those who don't like to go for those companies (like me) this is a decent enough phone. You can get value for money.",2
positive,Beautifully crafted phone with all the functionalities. I really like the battery backup and camera quality.  The back cover looks a bit old fashioned but still cool as most of people cover the phone. All together a good phone at this price range,2
negative,Worst camera and video calling quality... Not expected from Samsung... Calls disconnected automatic many times... Call audio sound is low...  Disappointed,0
positive,"It smells yum. Just your basic Italian deli/sandwich decor.

They offer sandwich, pasta, pizza, salads, buffalo wings, beer, wine, tea, pop..

They have cold cuts to take home,  pre made pasta salad, mozzarella etc.

I ordered ham and cheese sandwich. The dressing is very good, meats an cheese was good and so was the veggie. It doesn't beat my favorite sandwich from olean NY at tops grocery. But it's def going to be a spot I'll be at.",2
positive,"Fingerprint reader was very quick.
Camera quality is ok
Battery is a monster",2
negative,I thought the hanging issue will not happen in this phone but I was wrong.It is hanging inspite of 4 GB RAM.I am regretting by purchasing this.camra quality is also poor 13 MP camra but other samsung phones ranging 20k+ have 8MP camra but that is better than this.,0
positive,Best value smartphone under 10k. Ticks all boxes. Overall good package.,2
positive,"Beautiful phone, fastest android processor, fast face unlock and in screen finger print sensor combined with lots of memory and storage.
This is a fantastic phone from OnePlus. It's fast and responsive. The touchscreen is a pleasure to use. The android interface is very well designed.

Always fan of OnePlus!!",2
negative,"Its takes around 3 hours to fully charge your device, I returned it due to this issue, Not worth, Fast charging option is not available",0
neutral,Not recommending. It feels bulky and weight management is not good. UI is not like other Samsung devices.,1
negative,"It not reading propey my finger print ,battery life is not good ,camery quality worst, money waste product",0
neutral,Got the CofO to late didn`t close today   Will close Monday....back out to meet a buyer tonight to show a few homes to,1
positive,"Phone is good but camera quality is bad
Compeir is realme xt camera batter then note 8 pro",2
neutral,I just got smashed in the face by a 5th grader thowing a football... Twice. Now I bleed,1
negative,"Hi,

i would like replace my Mobile phone, its getting hang many times. i am very unhappy with the product

Regards,
Neelam Panchal",0
negative,Samsung M20 IS MY WORST EXPERIENCE INTHIS INTERNET CONNECTION IS WORST & ANY COMPANY NETWORK COVERAGE IS THE WORST SO PROBLEMS IN CALL DROPPING SO PLS ALL R SUGGEST TO GO FOR OHER BRAND,0
positive,"Fingerprint and camera best quality and battery life 1day 6 hrs
Low prices best mobiles",2
neutral,"""At #GOPDebate, I won over our largest audience yet. Can you chip in $3 to help us keep it up?"" @CarlyFiorina http://t.co/9hrN1F0vAx",1
neutral,going away party at ambers  road trip tomorrow!,1
negative,my dark knight dvd is missing   i`m pissed,0
positive,"This phone is so good, i am so happy",2
positive,Kyneton for breakfast this morning at Slow Living. Noice. Such a beautiful sunny autumn day  Drove back to Melb via Daylesford,2
positive,"The Samsung Galaxy M30 is the masterpiece from Samsung.
Overall it is having Value for Money. No lags.No hanging issues.Battery too reliable for 2 days usage under normal data usage. The best part is about the seller. The seller ""STPL"" is very genuine, reliable and professional.
I must say the packaging was professionally sealed and secured by Amazon and Seller ""STPL"".I received it on time.No issues found till date.",2
positive," Link won`t open, but I will try it when i have a better connection tomorrow. I`m curious now",2
positive,Best phone,2
positive,Face recognition is ok ok.. (7/10). Fingerprint reader is better in my opinion.. user interface is really clean and easy. But the best thing is the battery life (10/10). Lasts me almost 1 and half day without recharging. Display is ok ok.. (8/10).,2
neutral,Nothing like Charley Biggs Chicken @ 7:53AM,1
negative,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…,0
negative,RT @ChuckNellis: Don't JEB me man! #GOPDebate http://t.co/KWDnwGf53Q,0
positive,I liked the product very much and I loved its battery life I am writing this review after experiencing it for 2 weeks on the first charging it must take some time and it should be filled and the camera very good both the front and rare the vedio stability is 5/5 and the focus is really priceworthy and it is really good 8n this price and the sound and screen quality is 5/5 I loved it ot is really great.,2
negative,Worst product,0
positive,Good,2
negative,Worst phone ever after 17 days the display of phone is damaged tried to contact Samsung service center but the numbers provided were all wrong. Being in warranty period they said that display will cost 6500. Lots of problem in this phone. Please dont buy tgis phone,0
positive,Fingerprint is awesome,2
positive,RT @Steve_Girschle: Wow Governor Huckabee was fantastic! #gopdebate #imwithhuck #th16 #fairtax,2
negative,Camera quality is very low & worst,0
positive,This phone is working superb and great features,2
neutral,"I went ahead with this product because it was associated with android one program and had a decent battery life. After 2 weeks of usage, this is the summary.

1. Great battery life:(8.5/10)
  I can easily get a day and a half to two days on this guy. I do a bit of gaming, YouTube, social media. Games run smooth, you don't have to worry about the SD 665. I bought the 18W charger( the charger in unit is 10W) and I wasn't satisfied. It takes 2 hours to full charge. It's acceptable because the battery is a massive 4000 mAh but I expected more from the charger.

2. Display:(7/10)
  Coming from a 1080p phone, I am not disappointed. WE REALLY CANT DISTINGUISH A 720p PANEL FROM A 1080p. If that's your deal-breaker, don't worry. Under normal conditions, the display is beautiful. A bit saturated, but you get used to it quickly. However, it's not the brightest panel and under the sun, it can get really dim. Also, in dark conditions, it is brighter. Another thing I noticed is that the auto brightness sensor is not great, it can get brighter than needed to be or dimmer.

3. Software:(9/10)
  Android one, need I say more? Android 9 is great, and I have got a couple of security updates, so far so good. Everything is very smooth and seamless, although android 10 hasn't dropped yet.

4. Camera:(8/10)
  It's a surprise! The normal lens, 2x lens can take some very good photos for this segment. The wide angle lens gives you options, but you can't expect good detail. The night mode is better than nothing, but that's all is there to say about it.

5. Gaming:(7.5/10)
  Games run good. No lag, no heating issues. Although, this phone isn't optimised for gaming.

5. Other stuff:(5/10)
  The auto brightness sensor is a bit of a let-down. The auto-rotate sucks. It gets pretty annoying while watching YouTube. Unlike other mi devices, this doesn't have the infrared sensor. I have mixed reactions about the speaker. It is loud, but gets blurry, so I always have to go down 2 points. The haptic feedback was a sweet surprise! Feels very good. The fingerprint sensor is slow, and misses a few. I thought it will be bearable, but it gets annoying coming from a physical fingerprint sensor. And face unlock is just a gimmick.

Overall, I am satisfied with the product but if you can push up your budget a little, there are lot of better options available. Or, if you could hang with your phone for some more time, do so. Or, if you don't really mind the software experience, you have better options available.
7/10 phone, a decent phone from Xiaomi.",1
positive,Simply incredible. http://t.co/apXM8AO8jf Last night's #GOPDebate doubled the previous record for most-watched primary debate in history.,2
positive,Camera quality could be more better,2
negative,"sociology is done, english and biology left... i`m going to DIE",0
positive,".  Angel, daughter of the Lounge's owner Joy is a HOOT!!  I love her personality.  It's not a fancy place, little hole in the wall type place. They have been open for 8 years and have had a pretty steady following.  There is art on the walls (LOVE the Dizzie Gillespie painting... thinking of buying it) painted by a local artist.  Live music on Wednesdays/Fridays.  Wednesdays step classes (the Al B. look alike) and they have another separate dining-type area.  Wednesday nights they hold something called a conversation party.  Random 5 topics are chosen (we had a peek at last night's conversations) EX:  Are momma's boys a good or bad thing?   What makes a partner in a relationship think they need to start playing games?  What is most important to you in your professional career?

Apparently some of these discussions, as you can imagine - adding the alcohol ingredient - can get pretty heated.  It seemed to be a big group last night... 15-20 people.  

So after dinner, catfish, PORK CHOPS TO DIE FOR!! So tender, fried hot wings, mac 'n cheese, mashed potatoes, LOTS AND LOTS of hot sauce, we heard the band start warming up.   YES!!  GREAT music.  People walked in wearing their Sunday best and others walked in wearing jeans.  It's an everyone knows everyone's name type of place.  Older people and the younger started trickling in around 8PM.  

Definitely a fun experience.  Good times.",2
positive,"finger print: good
camera quality: ok
baterry life: no long life",2
positive,"I had an amazing phone for sure. Finally i got perfect phone. I like is in-screen fringerprint scenner, 48+8+2 MP camera and its display amazing.",2
neutral,"Camera quality is basic, I am using Samsung first time, except camera all performance are good.",1
negative,Poor I want to replace it,0
negative,Not as desired,0
positive,Good,2
positive,Good,2
positive,"Firstly i say that this  a great value for money at this prize sagment.after using 13 day. No problem i faced.good battery life, very decent camera.bt little bit heavy.bt overall vivo create good mobilephone.",2
positive,This mobile have great features and have a amazing battery life and have a dual camera and the fingerprint sensor is very quick and the phone is available at a very cheap price that anyone can buy with extra loaded features and this phone provides value for money .,2
positive,Nice product,2
neutral,"Hardware is not upto the mark,
Rest everything is good.",1
positive,"NO!  The only good dim sum in town, however, yesterday we went and there was a sign on the door that the landlord had shut them down and changed the locks for failure to pay rent.",2
negative,"Don't know why, but I'm experiencing a lot of crashes in applications these days. I initially thought it must be problem with the application that i was using. But later on i realised that most of my applications are crashing. For the amount paid to buy this phone, the experience is bad. I wish One Plus fixes these issues. Else will have to switch over to other brands.",0
negative,With E3 coming up the worst possible thing happened. No not swine flu! not AIDS! RROD!!!!!!!!!!!!!!,0
negative,"Mobile is very good but camera so cheap really
I have 4 mobiles but this one of worst camera. Don't know why after huge profit why Samsung can't give complete perfect mobile, every time kahi to Kam dega hi.
Why camera quality is bad ? Due to policy can't return now. It's bad deal this time.
Amazon delivery superb but still not happy that much for camera and sound quality.

Like
Display, Design, Build quality, battery, charger, Screen protection

Dislike
Camera, Sound, Low processor, unwanted system apps, Selfie is Joke here, Screen brightness(tried with auto off)",0
neutral,good times haha ily christian and mo  gonna watch dazed and confused in a while ha also my first time watching it ha im so lame,1
positive,Nice mobile I like it thanks Amazon,2
positive,"Amazing Product from Samsung. Fast, durable Mobile with best Camera and Till Now. I am very happy and satisfied by product of Samsung.",2
negative,Bad camera quality,0
neutral,RT @THC1: @krystalball Maybe Florina will call him a LIAR!  #GOPDebate,1
positive,"I like the way the phone is performing. Nice smooth screen. So fast . One thing , they can include the headset with this product. Otherwise the performance, rear camera all are best of best. Thanks one plus for this kind of phone.🙂🙂🙂",2
negative,It became too slow within 1 year of usage. And my father's redmi phones works perfectly after 3 years without a glitch. And is discharged and recharged very frequently.,0
positive,Value for money... Good product bt normal camera quality other then,2
